"","city","result","reason","法條數","法源數","縣市","戶籍登記人口數","男性人口","女性人口","勞動力參與率","失業率","刑案發生數","竊盜案發生數","暴力犯罪發生數","查獲經濟案件件數","家庭收支.平均戶內人口數","家庭收支.平均每戶就業人數","家庭收支.平均每戶全年經常性收入","家庭收支.平均每戶可支配所得","死亡","受傷","案件數","是否為六都","區域"
"1","宜蘭","有罪","過失傷害",17,4," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"2","宜蘭","有罪","公共危險",5,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"3","宜蘭","駁回","過失傷害",11,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"4","宜蘭","未知","公共危險",3,2," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"5","宜蘭","無罪","公共危險",4,2," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"6","宜蘭","有罪","公共危險",5,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"7","宜蘭","有罪","過失傷害",8,5," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"8","宜蘭","有罪","公共危險",7,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"9","宜蘭","有罪","公共危險等",6,2," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"10","宜蘭","有罪","過失傷害",8,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"11","宜蘭","有罪","公共危險",6,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"12","宜蘭","有罪","公共危險",6,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"13","宜蘭","有罪","公共危險",5,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"14","宜蘭","有罪","公共危險",6,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"15","宜蘭","不受理","過失傷害",6,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"16","宜蘭","未知","公共危險",5,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"17","宜蘭","有罪","公共危險",5,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"18","宜蘭","無罪","其他",7,4," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"19","宜蘭","有罪","過失致死",8,4," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"20","宜蘭","有罪","過失致死",6,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"21","宜蘭","有罪","公共危險",6,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"22","宜蘭","有罪","過失致死",8,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"23","宜蘭","有罪","公共危險",5,2," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"24","宜蘭","有罪","其他",8,4," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"25","宜蘭","不受理","過失傷害",5,2," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"26","宜蘭","有罪","過失傷害",8,4," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"27","宜蘭","有罪","過失傷害",11,5," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"28","宜蘭","有罪","其他",11,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"29","宜蘭","有罪","公共危險",5,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"30","宜蘭","有罪","其他",8,4," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"31","宜蘭","駁回","公共危險",9,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"32","宜蘭","有罪","公共危險",5,3," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"33","宜蘭","不受理","其他",5,2," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
"34","宜蘭","不受理","過失傷害",5,2," 宜蘭縣",458456,233000,225456,58,4.3,5759,1322,67,90,3.05,1.26,1007390,813875,53,7899,5871,"否","東部"
