"","value","id","keyword"
735,2,"2019-08-14_199","清償"
899,1,"2019-08-14_199","免訴"
1442,3,"2019-08-14_199","假執行"
1569,1,"2019-08-14_199","庚棟"
1644,3,"2019-08-14_199","之訴"
1804,2,"2019-08-14_199","之聲"
1810,2,"2019-08-14_199","起至"
2472,1,"2019-08-14_199","在案"
2637,1,"2019-08-14_199","第十一"
2647,1,"2019-08-14_199","應以"
2651,4,"2019-08-14_199","民事訴訟"
2655,1,"2019-08-14_199","下同"
2679,4,"2019-08-14_199","附帶"
2711,1,"2019-08-14_199","擔保"
2714,7,"2019-08-14_199","原告"
2751,1,"2019-08-14_199","書狀"
2783,2,"2019-08-14_199","給付"
2923,2,"2019-08-14_199","翌日"
2955,2,"2019-08-14_199","交訴"
2965,4,"2019-08-14_199","駁回"
3122,2,"2019-08-14_199","百分之"
3123,2,"2019-08-14_199","方面"
3162,1,"2019-08-14_199","審判長"
3253,1,"2019-08-14_199","諸前"
3398,2,"2019-08-14_199","無罪"
3420,1,"2019-08-14_199","提起"
3427,1,"2019-08-14_199","業經"
3429,1,"2019-08-14_199","自應"
3444,2,"2019-08-14_199","聲明"
3544,1,"2019-08-14_199","所載"
3627,1,"2019-08-14_199","附件"
3634,1,"2019-08-14_199","經查"
3673,1,"2019-08-14_199","如主"
3680,3,"2019-08-14_199","起訴"
3682,2,"2019-08-14_199","公共危險"
3689,1,"2019-08-14_199","文中"
3700,1,"2019-08-14_199","宣告"
3709,2,"2019-08-14_199","計算"
3754,1,"2019-08-14_199","不得"
3804,1,"2019-08-14_199","新臺幣"
3807,2,"2019-08-14_199","陳述"
3825,1,"2019-08-14_199","受理"
4008,1,"2019-08-14_198","應予以"
4429,1,"2019-08-14_198","追加"
4814,1,"2019-08-14_198","法定代理"
5028,1,"2019-08-14_198","負擔"
5030,1,"2019-08-14_198","結論"
5131,1,"2019-08-14_198","國家"
5278,2,"2019-08-14_198","假執行"
5480,4,"2019-08-14_198","之訴"
5508,1,"2019-08-14_198","可言"
5523,1,"2019-08-14_198","怡君中"
5640,2,"2019-08-14_198","之聲"
6110,1,"2019-08-14_198","二本"
6487,4,"2019-08-14_198","民事訴訟"
6515,4,"2019-08-14_198","附帶"
6550,5,"2019-08-14_198","原告"
